"","date","Dekalb_NewCases","Dekalb_svnDavg","Fulton_NCases","Fulton_svnDavg","DekalbREL","FultonREL"
"1","1/22/20",NA,NA,NA,NA,NA,NA
"2","1/23/20",0,NA,0,NA,NA,NA
"3","1/24/20",0,NA,0,NA,NA,NA
"4","1/25/20",0,NA,0,NA,NA,NA
"5","1/26/20",0,NA,0,NA,NA,NA
"6","1/27/20",0,NA,0,NA,NA,NA
"7","1/28/20",0,NA,0,NA,NA,NA
"8","1/29/20",0,0,0,0,0,0
"9","1/30/20",0,0,0,0,0,0
"10","1/31/20",0,0,0,0,0,0
"11","2/1/20",0,0,0,0,0,0
"12","2/2/20",0,0,0,0,0,0
"13","2/3/20",0,0,0,0,0,0
"14","2/4/20",0,0,0,0,0,0
"15","2/5/20",0,0,0,0,0,0
"16","2/6/20",0,0,0,0,0,0
"17","2/7/20",0,0,0,0,0,0
"18","2/8/20",0,0,0,0,0,0
"19","2/9/20",0,0,0,0,0,0
"20","2/10/20",0,0,0,0,0,0
"21","2/11/20",0,0,0,0,0,0
"22","2/12/20",0,0,0,0,0,0
"23","2/13/20",0,0,0,0,0,0
"24","2/14/20",0,0,0,0,0,0
"25","2/15/20",0,0,0,0,0,0
"26","2/16/20",0,0,0,0,0,0
"27","2/17/20",0,0,0,0,0,0
"28","2/18/20",0,0,0,0,0,0
"29","2/19/20",0,0,0,0,0,0
"30","2/20/20",0,0,0,0,0,0
"31","2/21/20",0,0,0,0,0,0
"32","2/22/20",0,0,0,0,0,0
"33","2/23/20",0,0,0,0,0,0
"34","2/24/20",0,0,0,0,0,0
"35","2/25/20",0,0,0,0,0,0
"36","2/26/20",0,0,0,0,0,0
"37","2/27/20",0,0,0,0,0,0
"38","2/28/20",0,0,0,0,0,0
"39","2/29/20",0,0,0,0,0,0
"40","3/1/20",0,0,0,0,0,0
"41","3/2/20",0,0,0,0,0,0
"42","3/3/20",0,0,2,0.285714285714286,0,0.0268528464017186
"43","3/4/20",0,0,0,0.285714285714286,0,0.0268528464017186
"44","3/5/20",0,0,0,0.285714285714286,0,0.0268528464017186
"45","3/6/20",0,0,0,0.285714285714286,0,0.0268528464017186
"46","3/7/20",0,0,1,0.428571428571429,0,0.0402792696025779
"47","3/8/20",0,0,0,0.428571428571429,0,0.0402792696025779
"48","3/9/20",2,0.285714285714286,2,0.714285714285714,0.037628791594631,0.0671321160042965
"49","3/10/20",0,0.285714285714286,0,0.428571428571429,0.037628791594631,0.0402792696025779
"50","3/11/20",2,0.571428571428571,1,0.571428571428571,0.0752575831892621,0.0537056928034372
"51","3/12/20",1,0.714285714285714,2,0.857142857142857,0.0940719789865776,0.0805585392051557
"52","3/13/20",0,0.714285714285714,0,0.857142857142857,0.0940719789865776,0.0805585392051557
"53","3/14/20",3,1.14285714285714,5,1.42857142857143,0.150515166378524,0.134264232008593
"54","3/15/20",2,1.42857142857143,7,2.42857142857143,0.188143957973155,0.228249194414608
